Chromosome Length: 20
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.600000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.050000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 5.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
47000;0.803440;0.738183;0.000000;0.915269;1.258458;1.647192;4.718601
48000;0.804620;0.739409;0.000000;0.916576;1.259376;1.645047;4.453660
49000;0.805710;0.740442;0.000000;0.914411;1.260288;1.646655;4.396406
50000;0.805630;0.739527;0.000000;0.916501;1.259928;1.646879;4.217601
51000;0.803260;0.737730;0.000000;0.916734;1.258363;1.641537;4.049815
52000;0.801580;0.739561;0.000000;0.912574;1.253950;1.640448;4.299166
53000;0.801790;0.738780;0.000000;0.915258;1.255713;1.641951;4.353010
54000;0.804860;0.736769;0.000000;0.917531;1.258595;1.642375;4.531254
55000;0.806290;0.741019;0.000000;0.915812;1.259127;1.649317;4.503777
56000;0.804760;0.739604;0.000000;0.913642;1.259370;1.644556;4.585867
57000;0.801770;0.740821;0.000000;0.912593;1.255681;1.642265;4.577895
58000;0.805250;0.740047;0.000000;0.915952;1.260125;1.645317;4.788838
59000;0.810250;0.741374;0.000000;0.918688;1.262473;1.654568;4.339113
60000;0.803840;0.738628;0.000000;0.913799;1.256452;1.643181;4.270478
61000;0.804340;0.739661;0.000000;0.916269;1.259687;1.642012;4.885913
62000;0.802320;0.739717;0.000000;0.913847;1.255090;1.644336;4.594734
63000;0.802770;0.741166;0.000000;0.915148;1.258228;1.648539;4.240706
64000;0.801690;0.740061;0.000000;0.914123;1.257298;1.643582;4.299019
65000;0.809580;0.741410;0.000000;0.919731;1.262553;1.649443;4.335090
66000;0.806510;0.737336;0.000000;0.918652;1.259021;1.642743;4.203206
67000;0.803280;0.739475;0.000000;0.913032;1.258705;1.644682;4.770472
68000;0.805140;0.738671;0.000000;0.917141;1.258110;1.645074;4.725156
69000;0.805590;0.739117;0.000000;0.917648;1.262612;1.648715;4.383520
70000;0.806270;0.739824;0.000000;0.915590;1.257325;1.644460;4.831470
71000;0.802330;0.738733;0.000507;0.915590;1.257914;1.643203;4.412425
72000;0.797040;0.738932;0.000000;0.909814;1.252898;1.635462;4.705863
73000;0.804080;0.740626;0.000000;0.912395;1.258065;1.646378;4.553975
74000;0.801100;0.739502;0.000000;0.912428;1.254246;1.640837;4.707476
75000;0.804430;0.739160;0.000266;0.917261;1.261319;1.645823;4.784861
76000;0.804700;0.738538;0.000000;0.916073;1.257256;1.643326;4.338435
77000;0.802830;0.739893;0.000000;0.915754;1.257545;1.640604;5.013348
78000;0.808800;0.739425;0.000000;0.918665;1.263492;1.647257;4.576047
79000;0.806790;0.739447;0.000000;0.917933;1.256316;1.646433;4.629619
80000;0.806780;0.736879;0.000000;0.919671;1.257032;1.641942;4.699726
81000;0.803210;0.739835;0.000000;0.917054;1.259476;1.648616;4.639218
82000;0.804430;0.739616;0.000000;0.914567;1.258713;1.645412;4.314740
83000;0.806160;0.739023;0.000000;0.918280;1.257630;1.643814;4.249165
84000;0.803490;0.739508;0.000000;0.913853;1.255770;1.643323;4.702314
85000;0.802120;0.739231;0.000000;0.914004;1.256930;1.643059;4.424664
86000;0.804690;0.738167;0.000000;0.915348;1.258027;1.641801;4.611939
87000;0.803900;0.737695;0.000000;0.916516;1.258439;1.643497;5.100036
88000;0.806410;0.737058;0.000000;0.918297;1.261267;1.645470;4.784080
89000;0.801920;0.739644;0.000000;0.914302;1.255858;1.641376;4.804846
90000;0.805390;0.739146;0.000000;0.915118;1.257028;1.644192;4.665128
91000;0.804780;0.737913;0.000066;0.916500;1.259808;1.647517;4.467889
92000;0.804600;0.739702;0.000000;0.915490;1.259989;1.648371;4.934580
93000;0.805240;0.740022;0.000000;0.915606;1.256309;1.647713;4.636932
94000;0.804470;0.737968;0.000000;0.917078;1.257265;1.642690;4.500062
95000;0.806110;0.738363;0.000137;0.917037;1.258668;1.644198;4.392233
96000;0.803130;0.739009;0.000000;0.913536;1.254559;1.642984;4.668358
97000;0.802940;0.738019;0.000000;0.915277;1.257637;1.643718;5.681062
98000;0.805660;0.738104;0.000000;0.914974;1.260207;1.645567;4.266524
99000;0.805180;0.738152;0.000000;0.916424;1.255841;1.646467;4.919040
100000;0.807610;0.738642;0.000000;0.917839;1.258530;1.646371;4.283227
